DAY_OF_WEEK,UNIQUE_STOP_NUMBER,STOP_NAME,ROUTE,ON,OFF,TOTAL,LAT,LONG,StopID,IndividRoute,IndvRtOn,IndvRtOff,NumberOfRoutes,AllRtOn,AllRtOff
WEEKDAY,0001,ORANGE ST @ 5TH ST,004 - W 4th Street - Governor Printz Blvd,25,119,144,39.742081,-75.551784,1,4,25,119,4,36.71,210.51
WEEKDAY,0001,ORANGE ST @ 5TH ST,005 - Maryland Ave - Christiana Mall,4,84,88,39.742102,-75.551790,1,5,4,84,4,36.71,210.51
WEEKDAY,0001,ORANGE ST @ 5TH ST,009 - Boxwood Rd - Broom St - Vandever Ave,7,7,14,39.742046,-75.551788,1,9,7,7,4,36.71,210.51
WEEKDAY,0001,ORANGE ST @ 5TH ST,042 - Glasgow Express,0,1,1,39.742032,-75.551784,1,42,0,1,4,36.71,210.51
WEEKDAY,0002,ORANGE ST @ 8TH ST,004 - W 4th Street - Governor Printz Blvd,30,198,228,39.743806,-75.550604,2,4,30,198,4,42.46,365.19
WEEKDAY,0002,ORANGE ST @ 8TH ST,005 - Maryland Ave - Christiana Mall,6,141,148,39.743794,-75.550600,2,5,6,141,4,42.46,365.19
WEEKDAY,0002,ORANGE ST @ 8TH ST,009 - Boxwood Rd - Broom St - Vandever Ave,6,23,29,39.743763,-75.550626,2,9,6,23,4,42.46,365.19
WEEKDAY,0002,ORANGE ST @ 8TH ST,042 - Glasgow Express,0,3,3,39.743767,-75.550623,2,42,0,3,4,42.46,365.19
WEEKDAY,0003,ORANGE ST @ 10TH ST,009 - Boxwood Rd - Broom St - Vandever Ave,11,36,48,39.745845,-75.549319,3,9,11,36,8,612.32,316.11
WEEKDAY,0003,ORANGE ST @ 10TH ST,013 - Philadelphia Pike - DuPont Highway,187,44,231,39.745986,-75.549412,3,13,187,44,8,612.32,316.11
WEEKDAY,0003,ORANGE ST @ 10TH ST,014 - DHSS Campus - Wilmington - Lea Blvd,22,24,46,39.745853,-75.549316,3,14,22,24,8,612.32,316.11
WEEKDAY,0003,ORANGE ST @ 10TH ST,033 - Christiana Mall - Newark,175,83,259,39.745932,-75.549384,3,33,175,83,8,612.32,316.11
WEEKDAY,0003,ORANGE ST @ 10TH ST,040 - Glasgow - US Route 40,179,88,267,39.745948,-75.549389,3,40,179,88,8,612.32,316.11
WEEKDAY,0003,ORANGE ST @ 10TH ST,042 - Glasgow Express,29,29,58,39.745939,-75.549444,3,42,29,29,8,612.32,316.11
WEEKDAY,0003,ORANGE ST @ 10TH ST,054 - Fairplay Sta - Christiana Mall - Wilton,0,2,3,39.745944,-75.549288,3,54,0,2,8,612.32,316.11
WEEKDAY,0003,ORANGE ST @ 10TH ST,055 - Old Baltimore Pike,9,10,18,39.745891,-75.549507,3,55,9,10,8,612.32,316.11
WEEKDAY,0004,11TH ST @ KING ST,004 - W 4th Street - Governor Printz Blvd,197,187,384,39.746184,-75.546580,4,4,197,187,8,453.62,330.52
WEEKDAY,0004,11TH ST @ KING ST,009 - Boxwood Rd - Broom St - Vandever Ave,44,25,69,39.746152,-75.546611,4,9,44,25,8,453.62,330.52
WEEKDAY,0004,11TH ST @ KING ST,014 - DHSS Campus - Wilmington - Lea Blvd,60,14,74,39.746164,-75.546592,4,14,60,14,8,453.62,330.52
WEEKDAY,0004,11TH ST @ KING ST,016 - Newark Express,31,1,32,39.746162,-75.546842,4,16,31,1,8,453.62,330.52
WEEKDAY,0004,11TH ST @ KING ST,018 - Pike Creek Valley - Wilm - Foulk Rd,40,46,86,39.746111,-75.546847,4,18,40,46,8,453.62,330.52
WEEKDAY,0004,11TH ST @ KING ST,020 - Lancaster Pike,1,44,45,39.746179,-75.546755,4,20,1,44,8,453.62,330.52
WEEKDAY,0004,11TH ST @ KING ST,045 - Odessa - Christiana Mall - Wilmington,34,1,35,39.746144,-75.546851,4,45,34,1,8,453.62,330.52
WEEKDAY,0004,11TH ST @ KING ST,301 - Intercounty Wilmington - Dover,46,13,59,39.746160,-75.546846,4,301,46,13,8,453.62,330.52
WEEKDAY,0006,MARKET ST @ OP 20TH ST,009 - Boxwood Rd - Broom St - Vandever Ave,2,23,25,39.751569,-75.541972,6,9,2,23,3,24.11,48.83
WEEKDAY,0006,MARKET ST @ OP 20TH ST,013 - Philadelphia Pike - DuPont Highway,19,24,43,39.751644,-75.542050,6,13,19,24,3,24.11,48.83
WEEKDAY,0006,MARKET ST @ OP 20TH ST,031 - Market Street - Philadelphia Pike,4,1,5,39.751700,-75.541875,6,31,4,1,3,24.11,48.83
WEEKDAY,0007,MARKET ST @ VANDEVER AVE,013 - Philadelphia Pike - DuPont Highway,29,45,74,39.752311,-75.540653,7,13,29,45,2,33.98,49.35
WEEKDAY,0007,MARKET ST @ VANDEVER AVE,031 - Market Street - Philadelphia Pike,5,4,9,39.752307,-75.540662,7,31,5,4,2,33.98,49.35
WEEKDAY,0008,MARKET ST @ 23RD ST,013 - Philadelphia Pike - DuPont Highway,10,32,42,39.753169,-75.538751,8,13,10,32,2,12.28,35.82
WEEKDAY,0008,MARKET ST @ 23RD ST,031 - Market Street - Philadelphia Pike,2,3,6,39.753170,-75.538755,8,31,2,3,2,12.28,35.82
WEEKDAY,0009,MARKET ST @ 26TH ST,013 - Philadelphia Pike - DuPont Highway,4,29,33,39.754433,-75.535952,9,13,4,29,2,5.71,31.04
WEEKDAY,0009,MARKET ST @ 26TH ST,031 - Market Street - Philadelphia Pike,2,2,4,39.754433,-75.535944,9,31,2,2,2,5.71,31.04
WEEKDAY,0010,MARKET ST @ 27TH ST,013 - Philadelphia Pike - DuPont Highway,17,56,74,39.755177,-75.534289,10,13,17,56,2,19.92,63.36
WEEKDAY,0010,MARKET ST @ 27TH ST,031 - Market Street - Philadelphia Pike,3,7,10,39.755096,-75.534465,10,31,3,7,2,19.92,63.36
WEEKDAY,0011,MARKET ST @ 29TH ST,013 - Philadelphia Pike - DuPont Highway,3,14,17,39.755654,-75.533208,11,13,3,14,2,3.37,17.03
WEEKDAY,0011,MARKET ST @ 29TH ST,031 - Market Street - Philadelphia Pike,1,3,3,39.755659,-75.533204,11,31,1,3,2,3.37,17.03
WEEKDAY,0013,MARKET ST @ 31ST ST,013 - Philadelphia Pike - DuPont Highway,12,38,50,39.756600,-75.531080,13,13,12,38,2,14.86,43.08
WEEKDAY,0013,MARKET ST @ 31ST ST,031 - Market Street - Philadelphia Pike,3,5,8,39.756604,-75.531085,13,31,3,5,2,14.86,43.08
WEEKDAY,0014,MARKET ST @ TODDS LN,013 - Philadelphia Pike - DuPont Highway,2,5,7,39.757591,-75.528914,14,13,2,5,2,2.05,5.77
WEEKDAY,0014,MARKET ST @ TODDS LN,031 - Market Street - Philadelphia Pike,0,1,1,39.757608,-75.528895,14,31,0,1,2,2.05,5.77
WEEKDAY,0016,MARKET ST @ 35TH ST,013 - Philadelphia Pike - DuPont Highway,7,26,33,39.758463,-75.526986,16,13,7,26,2,8.31,30.32
WEEKDAY,0016,MARKET ST @ 35TH ST,031 - Market Street - Philadelphia Pike,2,4,6,39.758477,-75.526992,16,31,2,4,2,8.31,30.32
WEEKDAY,0017,MARKET ST @ 38TH ST,013 - Philadelphia Pike - DuPont Highway,6,29,35,39.759521,-75.524673,17,13,6,29,2,6.86,33.84
WEEKDAY,0017,MARKET ST @ 38TH ST,031 - Market Street - Philadelphia Pike,1,5,6,39.759522,-75.524705,17,31,1,5,2,6.86,33.84
WEEKDAY,0018,MARKET ST @ 40TH ST,013 - Philadelphia Pike - DuPont Highway,4,10,14,39.760241,-75.523124,18,13,4,10,2,4.37,12.62
WEEKDAY,0018,MARKET ST @ 40TH ST,031 - Market Street - Philadelphia Pike,1,3,3,39.760248,-75.523115,18,31,1,3,2,4.37,12.62
WEEKDAY,0020,MARKET ST @ LEA BLVD,013 - Philadelphia Pike - DuPont Highway,13,48,61,39.761320,-75.520728,20,13,13,48,2,16.54,57.57
WEEKDAY,0020,MARKET ST @ LEA BLVD,031 - Market Street - Philadelphia Pike,3,10,13,39.761315,-75.520749,20,31,3,10,2,16.54,57.57
WEEKDAY,0022,PHILADELPHIA PK @ OP FORMAN,013 - Philadelphia Pike - DuPont Highway,5,6,11,39.762663,-75.517800,22,13,5,6,2,5.6,7.66
WEEKDAY,0022,PHILADELPHIA PK @ OP FORMAN,031 - Market Street - Philadelphia Pike,1,1,2,39.762662,-75.517811,22,31,1,1,2,5.6,7.66
WEEKDAY,0023,PHILADELPHIA PK @ EDGEMOOR R,013 - Philadelphia Pike - DuPont Highway,3,8,11,39.763864,-75.515148,23,13,3,8,2,3.38,12.42
WEEKDAY,0023,PHILADELPHIA PK @ EDGEMOOR R,031 - Market Street - Philadelphia Pike,0,4,5,39.763754,-75.515103,23,31,0,4,2,3.38,12.42
WEEKDAY,0024,PHILADELPHIA PK @ HILLCREST,013 - Philadelphia Pike - DuPont Highway,0,1,1,39.764518,-75.513705,24,13,0,1,1,0.08,0.95
WEEKDAY,0025,PHILADELPHIA PK @ BEESON AVE,013 - Philadelphia Pike - DuPont Highway,1,2,2,39.765532,-75.511488,25,13,1,2,1,0.58,1.83
WEEKDAY,0027,PHILADELPHIA PK @ MARSH RD,013 - Philadelphia Pike - DuPont Highway,2,4,7,39.766615,-75.509115,27,13,2,4,1,2.28,4.49
WEEKDAY,0028,PHILADELPHIA PK @ RODMAN RD,013 - Philadelphia Pike - DuPont Highway,1,6,7,39.767686,-75.506762,28,13,1,6,1,0.94,5.72
WEEKDAY,0029,PHILADELPHIA PK @ OP WASH ST,013 - Philadelphia Pike - DuPont Highway,5,15,20,39.769482,-75.502796,29,13,5,15,1,4.65,15.4
WEEKDAY,0030,PHILADELPHIA PK @ BEESON RD,013 - Philadelphia Pike - DuPont Highway,4,8,12,39.770466,-75.500655,30,13,4,8,1,3.86,8.12
WEEKDAY,0031,PHILADELPHIA PK @ DUNCAN RD,013 - Philadelphia Pike - DuPont Highway,5,9,14,39.772034,-75.497547,31,13,5,9,1,4.84,9.35
WEEKDAY,0032,HILLCREST AVE @ PHILADELPHIA,031 - Market Street - Philadelphia Pike,0,0,0,39.764057,-75.513721,32,31,0,0,1,0.08,0.33
WEEKDAY,0033,HILLCREST AVE @ WEIR AVE,031 - Market Street - Philadelphia Pike,0,0,0,39.763953,-75.511858,33,31,0,0,1,0.09,0.07
WEEKDAY,0034,HILLCREST AVE @ MARSH RD,031 - Market Street - Philadelphia Pike,0,0,1,39.763675,-75.510287,34,31,0,0,1,0.39,0.17
WEEKDAY,0035,HILLCREST AVE @ OP WOODSIDE,031 - Market Street - Philadelphia Pike,0,0,0,39.763124,-75.507670,35,31,0,0,1,0.08,0.08
WEEKDAY,0036,HAINES AVE @ BLUEROCK AVE,031 - Market Street - Philadelphia Pike,0,0,0,39.762519,-75.505724,36,31,0,0,1,0.1,0.24
WEEKDAY,0038,BRANDYWINE BLVD @ LORE AVE,031 - Market Street - Philadelphia Pike,1,2,3,39.762838,-75.503548,38,31,1,2,1,1,2.01
WEEKDAY,0039,BRANDYWINE BLVD @ LINDAMERE,031 - Market Street - Philadelphia Pike,0,1,1,39.764066,-75.502300,39,31,0,1,1,0.04,0.62
WEEKDAY,0040,BRANDYWINE BLVD @ MAPLE AVE,031 - Market Street - Philadelphia Pike,0,0,0,39.765297,-75.501084,40,31,0,0,1,0.26,0.04
WEEKDAY,0041,BRANDYWINE BLVD @ MARION AVE,031 - Market Street - Philadelphia Pike,2,3,5,39.766333,-75.500037,41,31,2,3,1,1.97,2.99
WEEKDAY,0042,BRANDYWINE BLVD @ BELLEFONTE,031 - Market Street - Philadelphia Pike,1,1,2,39.767632,-75.498467,42,31,1,1,1,1.25,0.69
WEEKDAY,0043,BRANDYWINE BLVD @ HIGHLAND A,031 - Market Street - Philadelphia Pike,1,2,4,39.768367,-75.497335,43,31,1,2,1,1.44,2.29
WEEKDAY,0044,DUNCAN RD @ BRANDYWINE BLVD,031 - Market Street - Philadelphia Pike,2,0,2,39.770851,-75.495410,44,31,2,0,1,2.14,0.25
WEEKDAY,0045,BELLEVUE PKWY @ OP BLDG 400,031 - Market Street - Philadelphia Pike,7,11,18,39.780751,-75.493894,45,31,7,11,1,7.02,11.07
WEEKDAY,0046,PHILADELPHIA PK @ SILVERSIDE,013 - Philadelphia Pike - DuPont Highway,3,19,22,39.783005,-75.480799,46,13,3,19,2,3.75,22.13
WEEKDAY,0046,PHILADELPHIA PK @ SILVERSIDE,031 - Market Street - Philadelphia Pike,1,3,3,39.783689,-75.480949,46,31,1,3,2,3.75,22.13
WEEKDAY,0048,CLAYMONT TRAIN STATION @ ON-,031 - Market Street - Philadelphia Pike,40,29,69,39.798416,-75.451730,48,31,40,29,2,50.5,37.85
WEEKDAY,0048,CLAYMONT TRAIN STATION @ ON-,061 - Naamans Road,11,8,19,39.798387,-75.451833,48,61,11,8,2,50.5,37.85
WEEKDAY,0052,PHILADELPHIA PK @ SILVERSIDE,013 - Philadelphia Pike - DuPont Highway,29,6,35,39.782521,-75.481755,52,13,29,6,1,28.65,6.28
WEEKDAY,0053,BELLEVUE PKWY @ BLDG 400 W E,031 - Market Street - Philadelphia Pike,6,6,11,39.781075,-75.494206,53,31,6,6,1,5.8,5.55
WEEKDAY,0054,DUNCAN RD @ BRANDYWINE BLVD,031 - Market Street - Philadelphia Pike,0,2,2,39.770540,-75.495120,54,31,0,2,1,0.45,1.72
WEEKDAY,0055,PHILADELPHIA PK @ MARSH RD,013 - Philadelphia Pike - DuPont Highway,3,4,6,39.766756,-75.509074,55,13,3,4,1,2.91,3.54
WEEKDAY,0056,MARKET ST @ LEA BLVD,013 - Philadelphia Pike - DuPont Highway,47,12,59,39.761261,-75.521038,56,13,47,12,2,57.72,14.5
WEEKDAY,0056,MARKET ST @ LEA BLVD,031 - Market Street - Philadelphia Pike,11,2,13,39.761303,-75.521054,56,31,11,2,2,57.72,14.5
WEEKDAY,0057,KING ST @ 10TH ST,009 - Boxwood Rd - Broom St - Vandever Ave,35,81,117,39.744977,-75.547025,57,9,35,81,3,175.87,472.69
WEEKDAY,0057,KING ST @ 10TH ST,013 - Philadelphia Pike - DuPont Highway,82,317,399,39.744967,-75.546996,57,13,82,317,3,175.87,472.69
WEEKDAY,0057,KING ST @ 10TH ST,014 - DHSS Campus - Wilmington - Lea Blvd,58,74,133,39.744885,-75.547059,57,14,58,74,3,175.87,472.69
WEEKDAY,0058,KING ST @ 8TH ST,013 - Philadelphia Pike - DuPont Highway,100,90,190,39.742668,-75.548613,58,13,100,90,8,363.16,377.23
WEEKDAY,0058,KING ST @ 8TH ST,016 - Newark Express,16,0,16,39.742656,-75.548659,58,16,16,0,8,363.16,377.23
WEEKDAY,0058,KING ST @ 8TH ST,018 - Pike Creek Valley - Wilm - Foulk Rd,21,23,44,39.742693,-75.548617,58,18,21,23,8,363.16,377.23
WEEKDAY,0058,KING ST @ 8TH ST,020 - Lancaster Pike,1,8,9,39.742725,-75.548580,58,20,1,8,8,363.16,377.23
WEEKDAY,0058,KING ST @ 8TH ST,025 - Delaware City - DuPont Highway,189,207,396,39.742629,-75.548662,58,25,189,207,8,363.16,377.23
WEEKDAY,0058,KING ST @ 8TH ST,031 - Market Street - Philadelphia Pike,1,43,44,39.742628,-75.548588,58,31,1,43,8,363.16,377.23
WEEKDAY,0058,KING ST @ 8TH ST,045 - Odessa - Christiana Mall - Wilmington,13,1,14,39.742646,-75.548654,58,45,13,1,8,363.16,377.23
WEEKDAY,0058,KING ST @ 8TH ST,301 - Intercounty Wilmington - Dover,22,5,28,39.742679,-75.548715,58,301,22,5,8,363.16,377.23
WEEKDAY,0060,AMTRAK STATION @ ML KING-FRE,002 - Concord Pike,124,82,206,39.737713,-75.551727,60,2,124,82,16,819.9,693.12
WEEKDAY,0060,AMTRAK STATION @ ML KING-FRE,006 - Kirkwood Highway,187,130,316,39.737651,-75.551799,60,6,187,130,16,819.9,693.12
WEEKDAY,0060,AMTRAK STATION @ ML KING-FRE,010 - Delaware Avenue - University Plaza,21,21,42,39.737615,-75.551456,60,10,21,21,16,819.9,693.12
WEEKDAY,0060,AMTRAK STATION @ ML KING-FRE,011 - Washington Street,61,28,88,39.737657,-75.551801,60,11,61,28,16,819.9,693.12
WEEKDAY,0060,AMTRAK STATION @ ML KING-FRE,018 - Pike Creek Valley - Wilm - Foulk Rd,59,57,116,39.737616,-75.551320,60,18,59,57,16,819.9,693.12
WEEKDAY,0060,AMTRAK STATION @ ML KING-FRE,020 - Lancaster Pike,31,19,51,39.737831,-75.551663,60,20,31,19,16,819.9,693.12
WEEKDAY,0060,AMTRAK STATION @ ML KING-FRE,031 - Market Street - Philadelphia Pike,29,23,53,39.737869,-75.551563,60,31,29,23,16,819.9,693.12
WEEKDAY,0060,AMTRAK STATION @ ML KING-FRE,033 - Christiana Mall - Newark,65,72,137,39.737544,-75.551465,60,33,65,72,16,819.9,693.12
WEEKDAY,0060,AMTRAK STATION @ ML KING-FRE,035 - Brandywine Town Center - Shipley Rd,20,15,34,39.737898,-75.551323,60,35,20,15,16,819.9,693.12
WEEKDAY,0060,AMTRAK STATION @ ML KING-FRE,040 - Glasgow - US Route 40,79,94,173,39.737526,-75.551442,60,40,79,94,16,819.9,693.12
WEEKDAY,0060,AMTRAK STATION @ ML KING-FRE,045 - Odessa - Christiana Mall - Wilmington,23,24,47,39.737557,-75.552133,60,45,23,24,16,819.9,693.12
WEEKDAY,0060,AMTRAK STATION @ ML KING-FRE,048 - JP Morgan - Astra-Zeneca - AI DuPont,29,25,54,39.737825,-75.551592,60,48,29,25,16,819.9,693.12
WEEKDAY,0060,AMTRAK STATION @ ML KING-FRE,052 - Centreville - Greenville - Kennett Pike,16,13,29,39.737783,-75.551582,60,52,16,13,16,819.9,693.12
WEEKDAY,0060,AMTRAK STATION @ ML KING-FRE,054 - Fairplay Sta - Christiana Mall - Wilton,1,3,3,39.737446,-75.551511,60,54,1,3,16,819.9,693.12
WEEKDAY,0060,AMTRAK STATION @ ML KING-FRE,055 - Old Baltimore Pike,1,6,7,39.737554,-75.551547,60,55,1,6,16,819.9,693.12
WEEKDAY,0060,AMTRAK STATION @ ML KING-FRE,301 - Intercounty Wilmington - Dover,74,82,156,39.737496,-75.552271,60,301,74,82,16,819.9,693.12
WEEKDAY,0063,CONCORD PK @ BRANDYWINE BLVD,002 - Concord Pike,2,27,29,39.808058,-75.548964,63,2,2,27,2,2.29,30.07
WEEKDAY,0063,CONCORD PK @ BRANDYWINE BLVD,035 - Brandywine Town Center - Shipley Rd,0,3,4,39.808027,-75.548851,63,35,0,3,2,2.29,30.07
WEEKDAY,0064,CONCORD MALL @ SEARS,002 - Concord Pike,32,57,89,39.821275,-75.545516,64,2,32,57,2,33.28,57.29
WEEKDAY,0064,CONCORD MALL @ SEARS,061 - Naamans Road,1,0,1,39.821447,-75.545801,64,61,1,0,2,33.28,57.29
WEEKDAY,0065,BRANDYWINE CMMNS @ OP SHOP-R,002 - Concord Pike,3,68,71,39.824494,-75.548155,65,2,3,68,1,3.09,68.08
WEEKDAY,0067,BRANDYWINE TOWN CTR @ P-N-R,002 - Concord Pike,76,60,135,39.831010,-75.535312,67,2,76,60,3,99.53,77.53
WEEKDAY,0067,BRANDYWINE TOWN CTR @ P-N-R,035 - Brandywine Town Center - Shipley Rd,20,14,34,39.830923,-75.535226,67,35,20,14,3,99.53,77.53
WEEKDAY,0067,BRANDYWINE TOWN CTR @ P-N-R,061 - Naamans Road,4,4,8,39.831067,-75.534963,67,61,4,4,3,99.53,77.53
WEEKDAY,0069,BRANDYWINE CMMNS @ SHOP-RITE,002 - Concord Pike,69,6,75,39.824427,-75.548387,69,2,69,6,1,69.14,5.89
WEEKDAY,0070,CONCORD PK @ SILVERSIDE RD,002 - Concord Pike,19,2,20,39.808319,-75.549869,70,2,19,2,2,20.46,1.69
WEEKDAY,0070,CONCORD PK @ SILVERSIDE RD,035 - Brandywine Town Center - Shipley Rd,2,0,2,39.807996,-75.549547,70,35,2,0,2,20.46,1.69
WEEKDAY,0071,18TH ST @ BROOM ST,002 - Concord Pike,22,2,24,39.759500,-75.549607,71,2,22,2,3,34.49,3.14
WEEKDAY,0071,18TH ST @ BROOM ST,018 - Pike Creek Valley - Wilm - Foulk Rd,9,0,10,39.759438,-75.549528,71,18,9,0,3,34.49,3.14
WEEKDAY,0071,18TH ST @ BROOM ST,035 - Brandywine Town Center - Shipley Rd,3,0,3,39.759421,-75.549431,71,35,3,0,3,34.49,3.14
WEEKDAY,0072,WALNUT ST @ 5TH ST,002 - Concord Pike,71,6,77,39.740039,-75.548070,72,2,71,6,19,442.33,376.64
WEEKDAY,0072,WALNUT ST @ 5TH ST,006 - Kirkwood Highway,93,8,100,39.739980,-75.548094,72,6,93,8,19,442.33,376.64
WEEKDAY,0072,WALNUT ST @ 5TH ST,010 - Delaware Avenue - University Plaza,13,13,26,39.739976,-75.548123,72,10,13,13,19,442.33,376.64
WEEKDAY,0072,WALNUT ST @ 5TH ST,013 - Philadelphia Pike - DuPont Highway,83,66,148,39.739851,-75.548140,72,13,83,66,19,442.33,376.64
WEEKDAY,0072,WALNUT ST @ 5TH ST,014 - DHSS Campus - Wilmington - Lea Blvd,22,29,52,39.739860,-75.548139,72,14,22,29,19,442.33,376.64
WEEKDAY,0072,WALNUT ST @ 5TH ST,015 - New Castle Avenue - Christiana Mall,9,57,66,39.739875,-75.548072,72,15,9,57,19,442.33,376.64
WEEKDAY,0072,WALNUT ST @ 5TH ST,016 - Newark Express,1,9,10,39.739887,-75.548136,72,16,1,9,19,442.33,376.64
WEEKDAY,0072,WALNUT ST @ 5TH ST,018 - Pike Creek Valley - Wilm - Foulk Rd,18,23,41,39.740222,-75.548032,72,18,18,23,19,442.33,376.64
WEEKDAY,0072,WALNUT ST @ 5TH ST,020 - Lancaster Pike,4,1,5,39.740272,-75.548013,72,20,4,1,19,442.33,376.64
WEEKDAY,0072,WALNUT ST @ 5TH ST,025 - Delaware City - DuPont Highway,8,59,67,39.739871,-75.548123,72,25,8,59,19,442.33,376.64
WEEKDAY,0072,WALNUT ST @ 5TH ST,031 - Market Street - Philadelphia Pike,23,1,24,39.740204,-75.548018,72,31,23,1,19,442.33,376.64
WEEKDAY,0072,WALNUT ST @ 5TH ST,033 - Christiana Mall - Newark,41,46,87,39.739859,-75.548149,72,33,41,46,19,442.33,376.64
WEEKDAY,0072,WALNUT ST @ 5TH ST,035 - Brandywine Town Center - Shipley Rd,11,1,11,39.739848,-75.548160,72,35,11,1,19,442.33,376.64
WEEKDAY,0072,WALNUT ST @ 5TH ST,040 - Glasgow - US Route 40,33,36,69,39.739885,-75.548150,72,40,33,36,19,442.33,376.64
WEEKDAY,0072,WALNUT ST @ 5TH ST,045 - Odessa - Christiana Mall - Wilmington,1,5,5,39.739919,-75.548204,72,45,1,5,19,442.33,376.64
WEEKDAY,0072,WALNUT ST @ 5TH ST,052 - Centreville - Greenville - Kennett Pike,6,1,7,39.739854,-75.548154,72,52,6,1,19,442.33,376.64
WEEKDAY,0072,WALNUT ST @ 5TH ST,054 - Fairplay Sta - Christiana Mall - Wilton,0,0,0,39.739897,-75.548189,72,54,0,0,19,442.33,376.64
WEEKDAY,0072,WALNUT ST @ 5TH ST,055 - Old Baltimore Pike,1,2,3,39.739879,-75.548176,72,55,1,2,19,442.33,376.64
WEEKDAY,0072,WALNUT ST @ 5TH ST,301 - Intercounty Wilmington - Dover,5,15,20,39.739900,-75.548222,72,301,5,15,19,442.33,376.64
WEEKDAY,0073,8TH ST @ SHIPLEY ST,008 - 8th and 9th Streets,114,35,149,39.743569,-75.549681,73,8,114,35,9,469.87,297.38
WEEKDAY,0073,8TH ST @ SHIPLEY ST,013 - Philadelphia Pike - DuPont Highway,191,77,268,39.743599,-75.549700,73,13,191,77,9,469.87,297.38
WEEKDAY,0073,8TH ST @ SHIPLEY ST,014 - DHSS Campus - Wilmington - Lea Blvd,28,52,80,39.743602,-75.549635,73,14,28,52,9,469.87,297.38
WEEKDAY,0073,8TH ST @ SHIPLEY ST,033 - Christiana Mall - Newark,57,67,124,39.743594,-75.549660,73,33,57,67,9,469.87,297.38
WEEKDAY,0073,8TH ST @ SHIPLEY ST,035 - Brandywine Town Center - Shipley Rd,6,1,7,39.743715,-75.549486,73,35,6,1,9,469.87,297.38
WEEKDAY,0073,8TH ST @ SHIPLEY ST,040 - Glasgow - US Route 40,68,59,127,39.743604,-75.549631,73,40,68,59,9,469.87,297.38
WEEKDAY,0073,8TH ST @ SHIPLEY ST,052 - Centreville - Greenville - Kennett Pike,4,1,5,39.743727,-75.549439,73,52,4,1,9,469.87,297.38
WEEKDAY,0073,8TH ST @ SHIPLEY ST,054 - Fairplay Sta - Christiana Mall - Wilton,0,0,0,39.743608,-75.549534,73,54,0,0,9,469.87,297.38
WEEKDAY,0073,8TH ST @ SHIPLEY ST,055 - Old Baltimore Pike,1,6,7,39.743595,-75.549632,73,55,1,6,9,469.87,297.38
WEEKDAY,0075,PINE ST @ VANDEVER AVE,014 - DHSS Campus - Wilmington - Lea Blvd,2,17,19,39.749312,-75.536975,75,14,2,17,1,2.41,16.64
WEEKDAY,0076,NORTHEAST BLVD @ 27TH ST,004 - W 4th Street - Governor Printz Blvd,9,47,56,39.749781,-75.527389,76,4,9,47,2,12.58,57.81
WEEKDAY,0076,NORTHEAST BLVD @ 27TH ST,014 - DHSS Campus - Wilmington - Lea Blvd,4,11,15,39.750100,-75.527471,76,14,4,11,2,12.58,57.81
WEEKDAY,0077,BOWERS ST @ OPPORTUNITY CTR,014 - DHSS Campus - Wilmington - Lea Blvd,0,0,0,39.751270,-75.522673,77,14,0,0,1,0.14,0.16
WEEKDAY,0078,LEA BLVD @ COLONY NORTH,014 - DHSS Campus - Wilmington - Lea Blvd,1,11,12,39.757504,-75.517931,78,14,1,11,1,0.85,10.82
WEEKDAY,0079,LEA BLVD @ OP RUSKIN RD,011 - Washington Street,1,1,2,39.763603,-75.523971,79,11,1,1,2,16.61,8.34
WEEKDAY,0079,LEA BLVD @ OP RUSKIN RD,014 - DHSS Campus - Wilmington - Lea Blvd,16,7,23,39.763315,-75.521663,79,14,16,7,2,16.61,8.34
WEEKDAY,0080,LEA BLVD @ GOODWILL ENT,014 - DHSS Campus - Wilmington - Lea Blvd,5,1,6,39.755304,-75.517276,80,14,5,1,1,5.07,0.54
WEEKDAY,0081,NORTHEAST BLVD @ 27TH ST,004 - W 4th Street - Governor Printz Blvd,46,9,56,39.749820,-75.527622,81,4,46,9,2,61.15,11.22
WEEKDAY,0081,NORTHEAST BLVD @ 27TH ST,014 - DHSS Campus - Wilmington - Lea Blvd,15,2,17,39.749909,-75.527672,81,14,15,2,2,61.15,11.22
WEEKDAY,0082,26TH ST @ JESSUP ST,014 - DHSS Campus - Wilmington - Lea Blvd,7,2,9,39.753047,-75.534137,82,14,7,2,1,7.1,2.4
WEEKDAY,0084,4TH ST @ MONROE ST,004 - W 4th Street - Governor Printz Blvd,104,67,171,39.743536,-75.558871,84,4,104,67,3,166.55,118.83
WEEKDAY,0084,4TH ST @ MONROE ST,005 - Maryland Ave - Christiana Mall,50,48,98,39.743528,-75.558862,84,5,50,48,3,166.55,118.83
WEEKDAY,0084,4TH ST @ MONROE ST,028 - AI Dupont Hospital - Wilmington DMV,13,4,17,39.743550,-75.558868,84,28,13,4,3,166.55,118.83
WEEKDAY,0085,4TH ST @ LINCOLN ST,004 - W 4th Street - Governor Printz Blvd,5,34,39,39.748784,-75.571711,85,4,5,34,1,5.1,34.12
WEEKDAY,0086,BARLEY MILL PLAZ @ SHELTER-E,004 - W 4th Street - Governor Printz Blvd,13,14,27,39.758649,-75.600187,86,4,13,14,1,12.71,14.36
