OBJECTID,StopId,StopAbbr,StopName,Bench,Shelter,Routes,County,Id2,TotalPop,County_1,TotMinority,PerMinorityState,PerMinorityCounty,PerMinorityBG,TotPoverty,PerPovState,PerPovCounty,PerPovBG,TotLEP,PerLEPBG,PerLEPCounty,PerLEPState,OriginalSqFt,Shape_Length,Shape_Area,SqFtBuffer,Est_TotPop_BuffArea,Est_TotMinority_BuffArea,Est_TotPov_BuffArea,Est_TotLEP_BuffArea,Est_TotPop_PostRemovedDupIntersects,Est_TotMinority_PostRemovedDupIntersects,Est_TotPov_PostRemovedDupIntersects,Est_TotLEP_PostRemovedDupIntersects
40295,2521,MEPE,MILLTOWN RD @ PECKSNIFF RD,0,0,18,New Castle County,1.0003E+11,2027,New Castle,202,36.96,41.46,9.97,111,12.12,11.91,5.48,0,0,4.57,4.39,27190357.8,59.48867627,125.1641956,1347.2508,7,1,0,0,1054,245,135,10
40316,1935,LNMI,LIMESTONE RD @ MILLTOWN RD,0,0,18,New Castle County,1.0003E+11,1039,New Castle,313,36.96,41.46,30.13,181,12.12,11.91,17.42,0,0,4.57,4.39,2773427.652,12.99799536,1.674696261,18.02620842,286,86,50,0,731,138,75,8
40317,1936,LNME,LIMESTONE RD @ MEDICAL CENTER,0,0,18,New Castle County,1.0003E+11,1039,New Castle,313,36.96,41.46,30.13,181,12.12,11.91,17.42,0,0,4.57,4.39,2773427.652,12.99799536,1.674696261,18.02620842,51,15,9,0,455,62,37,4
40329,1936,LNME,LIMESTONE RD @ MEDICAL CENTER,0,0,18,New Castle County,1.0003E+11,921,New Castle,68,36.96,41.46,7.38,22,12.12,11.91,2.39,25,2.88,4.57,4.39,7827716.64,441.9070051,3141.035476,33809.68924,10,1,0,0,455,62,37,4
40334,2521,MEPE,MILLTOWN RD @ PECKSNIFF RD,0,0,18,New Castle County,1.0003E+11,788,New Castle,50,36.96,41.46,6.35,36,12.12,11.91,4.57,0,0,4.57,4.39,15454208.26,440.9967248,7472.291356,80430.75304,38,2,2,0,1054,245,135,10
40337,2500,MWPE,MILLTOWN RD @ PECKSNIFF RD,0,0,18,New Castle County,1.0003E+11,788,New Castle,50,36.96,41.46,6.35,36,12.12,11.91,4.57,0,0,4.57,4.39,15454208.26,440.9967248,7472.291356,80430.75304,39,2,2,0,1065,249,139,9
40367,2523,MEOW,MILLTOWN RD @ OWEN DR,0,0,18,New Castle County,1.0003E+11,1039,New Castle,313,36.96,41.46,30.13,181,12.12,11.91,17.42,0,0,4.57,4.39,2773427.652,148.4520519,410.105056,4414.316427,7,2,1,0,769,328,142,56
40373,2499,M0SH,MILLTOWN RD @ SHEEN RD,0,0,18,New Castle County,1.0003E+11,1424,New Castle,872,36.96,41.46,61.24,367,12.12,11.91,25.77,160,12.18,4.57,4.39,4864373.239,787.334102,22886.65669,246348.937,113,69,29,13,878,239,122,21
40413,2496,M0MA,MILLTOWN RD @ MACLARY DR,0,0,18,New Castle County,1.0003E+11,558,New Castle,258,36.96,41.46,46.24,28,12.12,11.91,5.02,143,29.12,4.57,4.39,3589246.448,131.6935769,465.7383891,5013.146245,1,0,0,0,698,305,122,52
40483,304,FEWI,FAULKLAND RD @ WILLOW RUN ENT,0,0,18,New Castle County,1.0003E+11,1223,New Castle,395,36.96,41.46,32.3,33,12.12,11.91,3.22,93,8.56,4.57,4.39,22236995.35,272.3250831,2925.445355,31489.10577,22,7,1,2,500,297,116,56
40487,304,FEWI,FAULKLAND RD @ WILLOW RUN ENT,0,0,18,New Castle County,1.0003E+11,884,New Castle,308,36.96,41.46,34.84,151,12.12,11.91,17.08,10,1.26,4.57,4.39,5960805.018,238.1205422,2117.384045,22791.24102,39,13,7,0,500,297,116,56
40499,2000,LWLO,LANCASTER PK @ LOVEVILLE RD,0,0,20,New Castle County,1.0003E+11,1780,New Castle,159,36.96,41.46,8.93,0,12.12,11.91,0,64,3.86,4.57,4.39,23484798.29,337.5537894,5630.288463,60603.67822,5,0,0,0,183,21,3,4
40502,1999,L0CN,LANCASTER PK @ OP COFFE RN COND,0,0,20,New Castle County,1.0003E+11,1694,New Castle,78,36.96,41.46,4.6,0,12.12,11.91,0,28,1.86,4.57,4.39,31903623.31,755.1697966,26747.87408,287910.5688,15,1,0,0,152,27,5,6
40525,2486,CSLO,CENTERVILLE RD @ LORI DR,0,0,"4, 18",New Castle County,1.0003E+11,1260,New Castle,515,36.96,41.46,40.87,140,12.12,11.91,11.64,94,7.83,4.57,4.39,11502539.74,72.78042146,103.4451414,1113.469782,19,8,2,1,941,152,148,37
40542,105,3264,PRICES CORNER @ P-N-R FRONT,1,1,"6, 9",New Castle County,1.0003E+11,625,New Castle,0,36.96,41.46,0,56,12.12,11.91,8.96,0,0,4.57,4.39,3182282.354,220.5529528,2304.186298,24801.95569,122,0,11,0,620,190,139,50
40551,1122,KWPE,KIRKWOOD HWY @ PEP BOYS STORE,0,0,6,New Castle County,1.0003E+11,1260,New Castle,515,36.96,41.46,40.87,140,12.12,11.91,11.64,94,7.83,4.57,4.39,11502539.74,136.3022726,735.8078414,7920.138008,11,5,1,1,727,205,160,48
40556,1122,KWPE,KIRKWOOD HWY @ PEP BOYS STORE,0,0,6,New Castle County,1.0003E+11,1166,New Castle,355,36.96,41.46,30.45,257,12.12,11.91,22.04,150,14.12,4.57,4.39,11061105.9,341.8986765,5126.891271,55185.17761,70,21,15,9,727,205,160,48
40588,88,PCPR,PRICES CORNER & P-N-R BACK,1,1,"4, 18",New Castle County,1.0003E+11,1781,New Castle,954,36.96,41.46,53.57,664,12.12,11.91,37.68,139,8.19,4.57,4.39,22217793.09,301.5159473,3018.23216,32487.85064,121,65,45,9,671,183,138,48
40598,2532,CNTR,CENTERVILLE RD @ TRENTON PL,0,0,"4, 18",New Castle County,1.0003E+11,1944,New Castle,588,36.96,41.46,30.25,436,12.12,11.91,23.03,152,8.25,4.57,4.39,11970497.83,173.0381275,1282.453239,13804.15656,296,89,66,23,804,170,143,42
40676,1124,GEAL,GREENBANK RD @ ALBERTSON BLVD,0,0,"6, 18",New Castle County,1.0003E+11,1944,New Castle,588,36.96,41.46,30.25,436,12.12,11.91,23.03,152,8.25,4.57,4.39,11970497.83,348.4740386,4464.732193,48057.78512,628,190,141,49,803,242,185,56
40816,1032,D4WS,DEL RT 4 @ STATE ST,0,0,5,New Castle County,1.0003E+11,750,New Castle,472,36.96,41.46,62.93,116,12.12,11.91,15.47,222,33.69,4.57,4.39,4226935.143,98.68428558,425.6556361,4581.700808,136,86,21,40,996,187,84,50
40818,1029,JWJO,DEL RT 4 @ ETHAN ST,0,0,5,New Castle County,1.0003E+11,716,New Castle,141,36.96,41.46,19.69,109,12.12,11.91,15.22,0,0,4.57,4.39,46622064.74,168.1007442,846.1073438,9107.387222,0,0,0,0,743,400,112,172
40843,1030,J0MA,DEL RT 4 @ MARKET ST,0,0,5,New Castle County,1.0003E+11,589,New Castle,11,36.96,41.46,1.87,32,12.12,11.91,5.43,0,0,4.57,4.39,2378959.165,601.1004851,5694.068245,61290.19533,127,2,7,0,905,437,121,189
40862,1064,M1MA,MARKET ST-NWPT @ MARY ST,0,0,5,New Castle County,1.0003E+11,589,New Castle,11,36.96,41.46,1.87,32,12.12,11.91,5.43,0,0,4.57,4.39,2378959.165,123.4647952,318.1206658,3424.208652,104,2,6,0,872,446,122,197
40870,1062,D41E,DEL RT 4 @ WESTMONT DR,0,0,5,New Castle County,1.0003E+11,750,New Castle,472,36.96,41.46,62.93,116,12.12,11.91,15.47,222,33.69,4.57,4.39,4226935.143,6.441264388,1.62753723,17.51859487,90,57,14,27,990,160,80,37
40927,1033,D4WK,DEL RT 4 @ OP KENTUCKY AVE,0,0,5,New Castle County,1.0003E+11,574,New Castle,64,36.96,41.46,11.15,147,12.12,11.91,25.61,0,0,4.57,4.39,8057578.008,327.531546,2669.375761,28732.80663,7,1,2,0,668,111,58,11
41030,1042,MWAR,DEL RT 4 @ ARGONNE AVE,0,0,5,New Castle County,1.0003E+11,1042,New Castle,222,36.96,41.46,21.31,28,12.12,11.91,2.69,42,4.33,4.57,4.39,8930943.895,340.893791,6864.845781,73892.28945,9,2,0,0,1004,391,98,113
41046,98,D7NT,DEL RT7 @ OP TELEGRAPH RD,1,1,5,New Castle County,1.0003E+11,808,New Castle,192,36.96,41.46,23.76,115,12.12,11.91,14.97,28,3.66,4.57,4.39,4248884.516,686.8995355,21698.63236,233561.2006,44,11,6,2,839,375,85,120
41103,1123,KWAL,KIRKWOOD HWY @ ALBERTSON BLVD,0,0,6,New Castle County,1.0003E+11,1781,New Castle,954,36.96,41.46,53.57,664,12.12,11.91,37.68,139,8.19,4.57,4.39,22217793.09,476.9426558,9014.372241,97029.50715,189,101,70,15,697,248,181,54
41202,2628,GEGR,GREENBANK RD @ OP GREENBANK APT,0,0,18,New Castle County,1.0003E+11,1781,New Castle,954,36.96,41.46,53.57,664,12.12,11.91,37.68,139,8.19,4.57,4.39,22217793.09,103.2145153,400.5325796,4311.279561,47,25,18,4,810,252,187,62
41215,1226,K1DU,KIRKWOOD HWY @ DUNCAN RD,0,0,6,New Castle County,1.0003E+11,1944,New Castle,588,36.96,41.46,30.25,436,12.12,11.91,23.03,152,8.25,4.57,4.39,11970497.83,43.94395068,67.24599122,723.8269301,0,0,0,0,643,230,93,101
41280,1134,K0DN,KIRKWOOD HWY @ DUNLINDEN RD,0,0,6,New Castle County,1.0003E+11,762,New Castle,186,36.96,41.46,24.41,10,12.12,11.91,1.31,20,2.74,4.57,4.39,7703241.073,60.14341993,144.2070564,1552.225628,16,4,0,0,744,307,97,164
41381,112,KELI,KIRKWOOD HWY @ LIMESTONE RD,1,1,6,New Castle County,1.0003E+11,899,New Castle,313,36.96,41.46,34.82,232,12.12,11.91,25.81,160,18.78,4.57,4.39,7720743.667,238.5467855,3554.22556,38257.2125,4,2,1,1,728,140,43,33
41480,1212,K1KI,KIRKWOOD HWY @ OP PIKE CREEK RD,0,0,6,New Castle County,1.0003E+11,1727,New Castle,204,36.96,41.46,11.81,176,12.12,11.91,10.19,45,2.81,4.57,4.39,24984812.65,223.4508274,2354.415667,25342.61795,2,0,0,0,890,216,79,21
41568,1968,LSOL,LIMESTONE RD @ OP BLDG 3105,0,0,18,New Castle County,1.0003E+11,1039,New Castle,313,36.96,41.46,30.13,181,12.12,11.91,17.42,0,0,4.57,4.39,2773427.652,85.52979221,80.82189534,869.9561613,18,5,3,0,428,53,32,6
41588,1968,LSOL,LIMESTONE RD @ OP BLDG 3105,0,0,18,New Castle County,1.0003E+11,921,New Castle,68,36.96,41.46,7.38,22,12.12,11.91,2.39,25,2.88,4.57,4.39,7827716.64,367.1236435,4461.051749,48018.16932,6,0,0,0,428,53,32,6
41603,302,MECR,MILLTOWN RD @ CRATCHETT RD,1,1,18,New Castle County,1.0003E+11,788,New Castle,50,36.96,41.46,6.35,36,12.12,11.91,4.57,0,0,4.57,4.39,15454208.26,52.70241896,14.11810173,151.9653744,3,0,0,0,888,178,95,10
41608,302,MECR,MILLTOWN RD @ CRATCHETT RD,1,1,18,New Castle County,1.0003E+11,996,New Castle,190,36.96,41.46,19.08,92,12.12,11.91,9.24,26,2.99,4.57,4.39,7519332.184,201.8320542,306.5346417,3299.498225,8,2,1,0,888,178,95,10
41692,296,MWCR,MILLTOWN RD @ OP CRATCHETT RD,0,0,18,New Castle County,1.0003E+11,788,New Castle,50,36.96,41.46,6.35,36,12.12,11.91,4.57,0,0,4.57,4.39,15454208.26,187.5277153,178.1100059,1917.152479,3,0,0,0,892,181,97,8
41778,2539,FEKE,FAULKLAND RD @ KENDALL RD,0,0,18,New Castle County,1.0003E+11,1260,New Castle,515,36.96,41.46,40.87,140,12.12,11.91,11.64,94,7.83,4.57,4.39,11502539.74,336.4991348,3806.052125,40967.84024,4,2,0,0,536,188,71,18
41814,1122,KWPE,KIRKWOOD HWY @ PEP BOYS STORE,0,0,6,New Castle County,1.0003E+11,625,New Castle,0,36.96,41.46,0,56,12.12,11.91,8.96,0,0,4.57,4.39,3182282.354,34.29732599,49.96275279,537.792444,163,0,15,0,727,205,160,48
41859,2486,CSLO,CENTERVILLE RD @ LORI DR,0,0,"4, 18",New Castle County,1.0003E+11,1166,New Castle,355,36.96,41.46,30.45,257,12.12,11.91,22.04,150,14.12,4.57,4.39,11061105.9,110.0145447,460.456557,4956.293305,9,3,2,1,941,152,148,37
41906,2532,CNTR,CENTERVILLE RD @ TRENTON PL,0,0,"4, 18",New Castle County,1.0003E+11,1781,New Castle,954,36.96,41.46,53.57,664,12.12,11.91,37.68,139,8.19,4.57,4.39,22217793.09,17.42242486,11.5740869,124.5819362,70,37,26,5,804,170,143,42
41907,1122,KWPE,KIRKWOOD HWY @ PEP BOYS STORE,0,0,6,New Castle County,1.0003E+11,1781,New Castle,954,36.96,41.46,53.57,664,12.12,11.91,37.68,139,8.19,4.57,4.39,22217793.09,17.42242486,11.5740869,124.5819362,143,76,53,11,727,205,160,48
41958,2489,G0AL,GREENBANK RD @ ALBERTSON BLVD,0,0,18,New Castle County,1.0003E+11,625,New Castle,0,36.96,41.46,0,56,12.12,11.91,8.96,0,0,4.57,4.39,3182282.354,286.9455331,2587.368168,27850.08778,104,0,9,0,811,236,181,56
41988,2531,FWWA,FAULKLAND RD @ WALLS AVE,0,0,18,New Castle County,1.0003E+11,625,New Castle,0,36.96,41.46,0,56,12.12,11.91,8.96,0,0,4.57,4.39,3182282.354,358.3977332,2068.663801,22266.82277,29,0,3,0,603,179,85,21
42126,99,MEMA,MARKET ST-NWPT @ MARSHALL ST,1,0,5,New Castle County,1.0003E+11,716,New Castle,141,36.96,41.46,19.69,109,12.12,11.91,15.22,0,0,4.57,4.39,46622064.74,152.6819252,744.4708608,8013.3856,0,0,0,0,575,320,96,134
42138,1064,M1MA,MARKET ST-NWPT @ MARY ST,0,0,5,New Castle County,1.0003E+11,1398,New Castle,385,36.96,41.46,27.54,144,12.12,11.91,10.3,41,2.95,4.57,4.39,10207606.58,676.9987105,15247.4009,164121.0009,85,23,9,2,872,446,122,197
42213,1036,D40G,DEL RT 4 @ GLENBERNE DR,0,0,5,New Castle County,1.0003E+11,1398,New Castle,385,36.96,41.46,27.54,144,12.12,11.91,10.3,41,2.95,4.57,4.39,10207606.58,66.59923428,247.7770594,2667.039403,0,0,0,0,243,31,58,0
42246,1061,D4EK,DEL RT 4 @ KENTUCKY AVE,0,0,5,New Castle County,1.0003E+11,574,New Castle,64,36.96,41.46,11.15,147,12.12,11.91,25.61,0,0,4.57,4.39,8057578.008,126.4667106,384.0613076,4133.984974,0,0,0,0,721,108,59,10
42420,2490,GWGR,GREENBANK RD @ GREENBANK APT,0,0,18,New Castle County,1.0003E+11,1781,New Castle,954,36.96,41.46,53.57,664,12.12,11.91,37.68,139,8.19,4.57,4.39,22217793.09,57.46610428,140.7016708,1514.494122,43,23,16,3,814,253,186,62
42468,1227,KIGR,KIRKWOOD HWY @ GREENBANK RD,0,0,6,New Castle County,1.0003E+11,558,New Castle,258,36.96,41.46,46.24,28,12.12,11.91,5.02,143,29.12,4.57,4.39,3589246.448,599.6467937,15689.69522,168881.7983,26,12,1,7,592,203,109,62
42606,296,MWCR,MILLTOWN RD @ OP CRATCHETT RD,0,0,18,New Castle County,1.0003E+11,996,New Castle,190,36.96,41.46,19.08,92,12.12,11.91,9.24,26,2.99,4.57,4.39,7519332.184,305.4427081,5589.455313,60164.15561,8,2,1,0,892,181,97,8
42743,1127,OWPR,OLD CAPITOL TR @ PR COR-PENNEYS,1,1,"6, 9",New Castle County,1.0003E+11,1260,New Castle,515,36.96,41.46,40.87,140,12.12,11.91,11.64,94,7.83,4.57,4.39,11502539.74,15.7574269,6.019920451,64.79762526,0,0,0,0,512,222,156,45
42750,1127,OWPR,OLD CAPITOL TR @ PR COR-PENNEYS,1,1,"6, 9",New Castle County,1.0003E+11,625,New Castle,0,36.96,41.46,0,56,12.12,11.91,8.96,0,0,4.57,4.39,3182282.354,107.6751817,98.88864177,1064.424223,16,0,1,0,512,222,156,45
42788,2487,CSTR,CENTERVILL RD @ OP TRENTON PL,0,0,"4, 18",New Castle County,1.0003E+11,1781,New Castle,954,36.96,41.46,53.57,664,12.12,11.91,37.68,139,8.19,4.57,4.39,22217793.09,200.0866087,1255.827248,13517.55793,65,35,24,5,818,171,145,42
42854,1124,GEAL,GREENBANK RD @ ALBERTSON BLVD,0,0,"6, 18",New Castle County,1.0003E+11,625,New Castle,0,36.96,41.46,0,56,12.12,11.91,8.96,0,0,4.57,4.39,3182282.354,135.4700495,667.1846676,7181.487267,76,0,7,0,803,242,185,56
42933,93,JWJA,DEL RT 4 @ MARSHALL ST,0,0,5,New Castle County,1.0003E+11,716,New Castle,141,36.96,41.46,19.69,109,12.12,11.91,15.22,0,0,4.57,4.39,46622064.74,34.85714846,51.19695575,551.077241,0,0,0,0,639,340,104,145
42961,1029,JWJO,DEL RT 4 @ ETHAN ST,0,0,5,New Castle County,1.0003E+11,589,New Castle,11,36.96,41.46,1.87,32,12.12,11.91,5.43,0,0,4.57,4.39,2378959.165,533.3552307,14432.67647,155351.4152,40,1,2,0,743,400,112,172
43004,1124,GEAL,GREENBANK RD @ ALBERTSON BLVD,0,0,"6, 18",New Castle County,1.0003E+11,1781,New Castle,954,36.96,41.46,53.57,664,12.12,11.91,37.68,139,8.19,4.57,4.39,22217793.09,14.41132634,7.094319685,76.36231611,96,51,36,7,803,242,185,56
43010,1123,KWAL,KIRKWOOD HWY @ ALBERTSON BLVD,0,0,6,New Castle County,1.0003E+11,1944,New Castle,588,36.96,41.46,30.25,436,12.12,11.91,23.03,152,8.25,4.57,4.39,11970497.83,598.0719483,19525.13925,210166.0091,480,145,108,38,697,248,181,54
43253,1232,OEPR,OLD CAPITOL TR @ OP PR COR SH C,1,1,"6, 9",New Castle County,1.0003E+11,1260,New Castle,515,36.96,41.46,40.87,140,12.12,11.91,11.64,94,7.83,4.57,4.39,11502539.74,22.64393958,20.58828729,221.6095936,0,0,0,0,509,221,156,46
43261,1232,OEPR,OLD CAPITOL TR @ OP PR COR SH C,1,1,"6, 9",New Castle County,1.0003E+11,625,New Castle,0,36.96,41.46,0,56,12.12,11.91,8.96,0,0,4.57,4.39,3182282.354,147.1274628,1050.527208,11307.73552,15,0,1,0,509,221,156,46
43290,1123,KWAL,KIRKWOOD HWY @ ALBERTSON BLVD,0,0,6,New Castle County,1.0003E+11,1166,New Castle,355,36.96,41.46,30.45,257,12.12,11.91,22.04,150,14.12,4.57,4.39,11061105.9,230.4456483,1405.690889,15130.67028,6,2,1,1,697,248,181,54
43363,1122,KWPE,KIRKWOOD HWY @ PEP BOYS STORE,0,0,6,New Castle County,1.0003E+11,1944,New Castle,588,36.96,41.46,30.25,436,12.12,11.91,23.03,152,8.25,4.57,4.39,11970497.83,443.7665024,11966.96701,128810.8456,340,103,76,27,727,205,160,48
43486,93,JWJA,DEL RT 4 @ MARSHALL ST,0,0,5,New Castle County,1.0003E+11,1398,New Castle,385,36.96,41.46,27.54,144,12.12,11.91,10.3,41,2.95,4.57,4.39,10207606.58,396.6206676,4954.165877,53325.98438,8,2,1,0,639,340,104,145
43494,93,JWJA,DEL RT 4 @ MARSHALL ST,0,0,5,New Castle County,1.0003E+11,589,New Castle,11,36.96,41.46,1.87,32,12.12,11.91,5.43,0,0,4.57,4.39,2378959.165,137.4837415,488.8351421,5261.756631,1,0,0,0,639,340,104,145
43702,88,PCPR,PRICES CORNER & P-N-R BACK,1,1,"4, 18",New Castle County,1.0003E+11,1944,New Castle,588,36.96,41.46,30.25,436,12.12,11.91,23.03,152,8.25,4.57,4.39,11970497.83,244.4285821,2782.932733,29955.11881,140,42,31,11,671,183,138,48
43745,105,3264,PRICES CORNER @ P-N-R FRONT,1,1,"6, 9",New Castle County,1.0003E+11,1944,New Castle,588,36.96,41.46,30.25,436,12.12,11.91,23.03,152,8.25,4.57,4.39,11970497.83,341.7287308,4879.999565,52527.66804,90,27,20,7,620,190,139,50
43752,1123,KWAL,KIRKWOOD HWY @ ALBERTSON BLVD,0,0,6,New Castle County,1.0003E+11,625,New Castle,0,36.96,41.46,0,56,12.12,11.91,8.96,0,0,4.57,4.39,3182282.354,241.4162295,3249.269982,34974.7111,22,0,2,0,697,248,181,54
43791,2489,G0AL,GREENBANK RD @ ALBERTSON BLVD,0,0,18,New Castle County,1.0003E+11,1166,New Castle,355,36.96,41.46,30.45,257,12.12,11.91,22.04,150,14.12,4.57,4.39,11061105.9,145.8984921,765.5510135,8240.289568,5,2,1,1,811,236,181,56
43809,2489,G0AL,GREENBANK RD @ ALBERTSON BLVD,0,0,18,New Castle County,1.0003E+11,1781,New Castle,954,36.96,41.46,53.57,664,12.12,11.91,37.68,139,8.19,4.57,4.39,22217793.09,279.8057578,1433.078241,15425.4641,91,49,34,7,811,236,181,56
44025,99,MEMA,MARKET ST-NWPT @ MARSHALL ST,1,0,5,New Castle County,1.0003E+11,1398,New Castle,385,36.96,41.46,27.54,144,12.12,11.91,10.3,41,2.95,4.57,4.39,10207606.58,121.5076097,599.6301915,6454.339847,1,0,0,0,575,320,96,134
44309,1127,OWPR,OLD CAPITOL TR @ PR COR-PENNEYS,1,1,"6, 9",New Castle County,1.0003E+11,1944,New Castle,588,36.96,41.46,30.25,436,12.12,11.91,23.03,152,8.25,4.57,4.39,11970497.83,283.4156274,1143.149473,12304.7093,69,21,15,5,512,222,156,45
44366,1124,GEAL,GREENBANK RD @ ALBERTSON BLVD,0,0,"6, 18",New Castle County,1.0003E+11,1166,New Castle,355,36.96,41.46,30.45,257,12.12,11.91,22.04,150,14.12,4.57,4.39,11061105.9,24.04767113,19.18607994,206.5164197,3,1,1,0,803,242,185,56
44975,1232,OEPR,OLD CAPITOL TR @ OP PR COR SH C,1,1,"6, 9",New Castle County,1.0003E+11,1944,New Castle,588,36.96,41.46,30.25,436,12.12,11.91,23.03,152,8.25,4.57,4.39,11970497.83,519.5780596,15163.79361,163221.0631,59,18,13,5,509,221,156,46
44979,2486,CSLO,CENTERVILLE RD @ LORI DR,0,0,"4, 18",New Castle County,1.0003E+11,1781,New Castle,954,36.96,41.46,53.57,664,12.12,11.91,37.68,139,8.19,4.57,4.39,22217793.09,526.8076857,12893.34976,138782.3067,12,6,4,1,941,152,148,37
46791,162,MSMO,MOORES LN @ MONTPELIER BLVD,0,0,15,New Castle County,1.0003E+11,1742,New Castle,1045,36.96,41.46,59.99,270,12.12,11.91,15.5,67,4.12,4.57,4.39,7111376.534,209.8756603,334.3341167,3598.728086,546,327,85,21,1031,623,193,49
46792,1669,CEIN,CONSTITUTION BLV @ INDEPENDENCE BLV,0,0,15,New Castle County,1.0003E+11,1270,New Castle,648,36.96,41.46,51.02,183,12.12,11.91,14.41,4,0.32,4.57,4.39,22964699.36,60.18109379,26.36359287,283.7742168,18,9,3,0,716,432,136,44
46793,1669,CEIN,CONSTITUTION BLV @ INDEPENDENCE BLV,0,0,15,New Castle County,1.0003E+11,807,New Castle,177,36.96,41.46,21.93,23,12.12,11.91,2.85,42,5.63,4.57,4.39,7581313.574,48.538239,78.78942394,848.0789088,0,0,0,0,716,432,136,44
46794,1670,CEMO,CONSTITUTION BLV @ OP MONTICELLO BL,0,0,15,New Castle County,1.0003E+11,1270,New Castle,648,36.96,41.46,51.02,183,12.12,11.91,14.41,4,0.32,4.57,4.39,22964699.36,41.52969337,71.6136137,770.8394391,51,26,7,0,741,460,142,42
46795,1671,C0ME,CONSTITUTION BLV @ MOORES LN,0,0,15,New Castle County,1.0003E+11,1742,New Castle,1045,36.96,41.46,59.99,270,12.12,11.91,15.5,67,4.12,4.57,4.39,7111376.534,110.843177,507.2269145,5459.72323,601,361,93,23,981,601,171,47
46796,1672,MSSW,MOORES LN @ SWEDES ST,0,0,15,New Castle County,1.0003E+11,1270,New Castle,648,36.96,41.46,51.02,183,12.12,11.91,14.41,4,0.32,4.57,4.39,22964699.36,200.4549198,790.2348189,8505.982775,137,70,20,0,726,431,121,28
46797,1673,MS14,MOORES LN @ 14TH ST,0,0,15,New Castle County,1.0003E+11,1270,New Castle,648,36.96,41.46,51.02,183,12.12,11.91,14.41,4,0.32,4.57,4.39,22964699.36,357.2219796,1685.269813,18140.02074,220,112,32,1,553,314,85,15
46798,1674,MS12,MOORES LN @ 12TH ST,0,0,15,New Castle County,1.0003E+11,1270,New Castle,648,36.96,41.46,51.02,183,12.12,11.91,14.41,4,0.32,4.57,4.39,22964699.36,125.0822505,407.5919688,4387.26589,276,141,40,1,395,212,58,6
46799,3380,NSBA,NEW CASTLE AVE @ BALDT AVE,0,0,15,New Castle County,1.0003E+11,1270,New Castle,648,36.96,41.46,51.02,183,12.12,11.91,14.41,4,0.32,4.57,4.39,22964699.36,613.9945709,6545.16425,70451.27984,303,154,44,1,303,154,44,1
46800,1675,WS06,WILMINGTON RD @ OP E 6TH ST,0,0,15,New Castle County,1.0003E+11,1270,New Castle,648,36.96,41.46,51.02,183,12.12,11.91,14.41,4,0.32,4.57,4.39,22964699.36,1289.48024,23827.80329,256479.3141,232,118,33,1,272,119,37,2
46801,1675,WS06,WILMINGTON RD @ OP E 6TH ST,0,0,15,New Castle County,1.0003E+11,580,New Castle,9,36.96,41.46,1.55,58,12.12,11.91,10,13,2.35,4.57,4.39,18394144.75,1686.076883,77652.29484,835839.002,40,1,4,1,272,119,37,2
46802,164,6SDE,6TH ST-NC @ DELAWARE AVE,0,0,15,New Castle County,1.0003E+11,580,New Castle,9,36.96,41.46,1.55,58,12.12,11.91,10,13,2.35,4.57,4.39,18394144.75,649.2636533,2947.463589,31726.10713,84,1,8,2,424,127,50,7
46803,1678,6STR,6TH ST-NC @ TREMONT ST,0,0,15,New Castle County,1.0003E+11,580,New Castle,9,36.96,41.46,1.55,58,12.12,11.91,10,13,2.35,4.57,4.39,18394144.75,24.90593755,16.9976232,182.9601615,46,1,5,1,547,188,67,9
46804,1679,6SSO,6TH ST-NC @ SOUTH ST,0,0,15,New Castle County,1.0003E+11,560,New Castle,52,36.96,41.46,9.29,25,12.12,11.91,4.53,0,0,4.57,4.39,21228354.47,230.2608605,227.055188,2443.991928,96,9,4,0,660,244,82,11
46805,1680,7SSO,7TH ST-NC @ SOUTH ST,0,0,15,New Castle County,1.0003E+11,1259,New Castle,533,36.96,41.46,42.34,174,12.12,11.91,13.82,24,1.94,4.57,4.39,3460430.507,314.6980194,1061.363992,11424.38123,864,366,119,16,946,373,123,16
46806,1680,7SSO,7TH ST-NC @ SOUTH ST,0,0,15,New Castle County,1.0003E+11,580,New Castle,9,36.96,41.46,1.55,58,12.12,11.91,10,13,2.35,4.57,4.39,18394144.75,27.70420316,13.06998685,140.6836048,2,0,0,0,946,373,123,16
46807,1681,7SUM,7TH ST-NC @ UMBRELLA ROW,0,0,15,New Castle County,1.0003E+11,560,New Castle,52,36.96,41.46,9.29,25,12.12,11.91,4.53,0,0,4.57,4.39,21228354.47,5.846036965,0.195699427,2.106482678,74,7,3,0,844,332,107,14
46808,1682,W007,WASHINGTON ST-NC @ 7TH ST,0,0,15,New Castle County,1.0003E+11,560,New Castle,52,36.96,41.46,9.29,25,12.12,11.91,4.53,0,0,4.57,4.39,21228354.47,94.92036799,49.60820004,533.9760853,62,6,3,0,673,263,82,11
46809,1685,WW11,WASHINGTON ST-NC @ 11TH ST,0,0,15,New Castle County,1.0003E+11,1259,New Castle,533,36.96,41.46,42.34,174,12.12,11.91,13.82,24,1.94,4.57,4.39,3460430.507,142.7578514,859.803951,9254.815685,730,309,101,14,878,352,104,18
