OBJECTID,StopId,StopAbbr,StopName,Bench,Shelter,Routes,County,Id2,TotalPop,County_1,TotMinority,PerMinorityState,PerMinorityCounty,PerMinorityBG,TotPoverty,PerPovState,PerPovCounty,PerPovBG,TotLEP,PerLEPBG,PerLEPCounty,PerLEPState,OriginalSqFt,Shape_Length,Shape_Area,SqFtBuffer,Est_TotPop_BuffArea,Est_TotMinority_BuffArea,Est_TotPov_BuffArea,Est_TotLEP_BuffArea,Est_TotPop_PostRemovedDupIntersects,Est_TotMinority_PostRemovedDupIntersects,Est_TotPov_PostRemovedDupIntersects,Est_TotLEP_PostRemovedDupIntersects
131,3977,CHU5,CHURCH ST AT NW 5TH ST,0,0,210,Kent County,1.0001E+11,2438,Kent,1678,36.96,37.26,68.83,410,12.12,12.96,17.15,516,23.22,3.51,4.39,17973599.69,1771.476113,176536.8073,1900218.778,684,471,115,145,693,473,116,145
132,454,SWPK,N WALNUT ST & PARK ST-DHSS,0,0,"210, 303",Sussex County,1.0001E+11,2438,Kent,1678,36.96,37.26,68.83,410,12.12,12.96,17.15,516,23.22,3.51,4.39,17973599.69,267.1771373,1102.467858,11866.81779,231,159,39,49,384,225,66,68
133,2949,SWS2,S WALNUT ST & SE 2ND ST,0,0,"210, 303",Sussex County,1.0001E+11,2438,Kent,1678,36.96,37.26,68.83,410,12.12,12.96,17.15,516,23.22,3.51,4.39,17973599.69,185.7588697,738.2267424,7946.174738,101,70,17,21,315,155,56,44
134,2951,SWKG,S WALNUT ST & KINGS HWY,0,0,"210, 303",Sussex County,1.00051E+11,2727,Sussex,868,36.96,25.15,31.83,539,12.12,12.01,19.77,193,7.74,4.65,4.39,41001415.14,196.4081526,883.5443798,9510.354512,179,57,35,13,230,63,38,14
135,2952,SWWC,S WALNUT ST & W CLARKE ST,0,0,"210, 303",Sussex County,1.00051E+11,907,Sussex,116,36.96,25.15,12.79,54,12.12,12.01,7.06,19,2.13,4.65,4.39,49703051.06,279.5011991,1124.558088,12104.5941,51,6,3,1,231,63,38,14
136,2970,525J,DE RT 18/404 EAST AT CHAPLINS CHAPE,0,0,212,Sussex County,1.00051E+11,1921,Sussex,1328,36.96,25.15,69.13,538,12.12,12.01,28.01,294,17.72,4.65,4.39,290344790.5,1496.909526,33499.91523,360588.6442,15,11,4,2,28,19,8,3
137,2970,525J,DE RT 18/404 EAST AT CHAPLINS CHAPE,0,0,212,Sussex County,1.00051E+11,1284,Sussex,928,36.96,25.15,72.27,485,12.12,12.01,38.49,68,5.66,4.65,4.39,291251033.7,1166.616661,22145.84755,238374.9656,11,8,4,1,28,19,8,3
138,3304,18WW,SR18/404 @ WALKERS MILL RD,0,0,212,Sussex County,1.00051E+11,1921,Sussex,1328,36.96,25.15,69.13,538,12.12,12.01,28.01,294,17.72,4.65,4.39,290344790.5,1604.628038,26318.7406,283291.4329,19,13,5,3,31,21,9,4
139,3304,18WW,SR18/404 @ WALKERS MILL RD,0,0,212,Sussex County,1.00051E+11,1284,Sussex,928,36.96,25.15,72.27,485,12.12,12.01,38.49,68,5.66,4.65,4.39,291251033.7,1013.246081,12375.60743,133209.3969,12,8,4,1,31,21,9,4
140,3392,18BP,SR18/404 OP FD LN BRVILL PARK SC,0,0,212,Sussex County,1.00051E+11,1921,Sussex,1328,36.96,25.15,69.13,538,12.12,12.01,28.01,294,17.72,4.65,4.39,290344790.5,1566.195096,29717.38455,319873.9856,18,12,5,3,50,21,7,3
141,3392,18BP,SR18/404 OP FD LN BRVILL PARK SC,0,0,212,Sussex County,1.00051E+11,1781,Sussex,518,36.96,25.15,29.08,111,12.12,12.01,6.23,20,1.17,4.65,4.39,155967478.2,1074.831729,16184.20333,174204.618,32,9,2,0,50,21,7,3
